N,Prime Found,Sum Made,Probability
460,88,32,0.36363636363636365
462,89,56,0.6292134831460674
464,90,24,0.26666666666666666
466,90,25,0.2777777777777778
468,91,48,0.5274725274725275
470,91,30,0.32967032967032966
472,91,26,0.2857142857142857
474,91,46,0.5054945054945055
476,91,28,0.3076923076923077
478,91,21,0.23076923076923078
480,92,58,0.6304347826086957
482,92,21,0.22826086956521738
484,92,28,0.30434782608695654
486,92,46,0.5
488,93,18,0.1935483870967742
490,93,38,0.40860215053763443
492,94,44,0.46808510638297873
494,94,26,0.2765957446808511
496,94,26,0.2765957446808511
498,94,46,0.48936170212765956
500,95,26,0.2736842105263158
502,95,29,0.30526315789473685
504,96,54,0.5625
506,96,30,0.3125
508,96,28,0.2916666666666667
510,97,64,0.6597938144329897
512,97,22,0.2268041237113402
514,97,27,0.27835051546391754
516,97,46,0.4742268041237113
518,97,22,0.2268041237113402
520,97,34,0.35051546391752575
522,98,48,0.4897959183673469
524,99,22,0.2222222222222222
526,99,29,0.29292929292929293
528,99,50,0.5050505050505051
530,99,28,0.2828282828282828
532,99,34,0.3434343434343434
534,99,44,0.4444444444444444
536,99,26,0.26262626262626265
538,99,27,0.2727272727272727
540,99,60,0.6060606060606061
542,100,19,0.19
544,100,26,0.26
546,100,60,0.6
548,101,22,0.21782178217821782
550,101,38,0.37623762376237624
552,101,46,0.45544554455445546
554,101,21,0.2079207920792079
556,101,22,0.21782178217821782
558,102,46,0.45098039215686275
560,102,36,0.35294117647058826
562,102,27,0.2647058823529412
564,103,48,0.46601941747572817
566,103,25,0.24271844660194175
568,103,26,0.2524271844660194
570,104,62,0.5961538461538461
572,105,22,0.20952380952380953
574,105,32,0.3047619047619048
576,105,52,0.49523809523809526
578,106,24,0.22641509433962265
580,106,38,0.3584905660377358
582,106,50,0.4716981132075472
584,106,24,0.22641509433962265
586,106,25,0.2358490566037736
588,107,58,0.5420560747663551
590,107,32,0.29906542056074764
592,107,30,0.2803738317757009
594,108,54,0.5
596,108,24,0.2222222222222222
598,108,30,0.2777777777777778
600,109,64,0.5871559633027523
602,110,24,0.21818181818181817
604,110,28,0.2545454545454545
606,110,54,0.4909090909090909
608,111,26,0.23423423423423423
610,111,40,0.36036036036036034
612,111,52,0.46846846846846846
614,112,29,0.25892857142857145
616,112,38,0.3392857142857143
618,113,52,0.46017699115044247
620,114,36,0.3157894736842105
622,114,33,0.2894736842105263
624,114,62,0.543859649122807
626,114,23,0.20175438596491227
628,114,32,0.2807017543859649
630,114,82,0.7192982456140351
632,115,20,0.17391304347826086
634,115,27,0.23478260869565218
636,115,56,0.48695652173913045
638,115,30,0.2608695652173913
640,115,36,0.3130434782608696
642,116,50,0.43103448275862066
644,117,34,0.2905982905982906
646,117,32,0.27350427350427353
648,118,54,0.4576271186440678
650,118,42,0.3559322033898305
652,118,30,0.2542372881355932
654,119,58,0.48739495798319327
656,119,26,0.2184873949579832
658,119,38,0.31932773109243695
660,120,82,0.6833333333333333
662,121,27,0.2231404958677686
664,121,32,0.2644628099173554
666,121,62,0.512396694214876
668,121,22,0.18181818181818182
670,121,42,0.34710743801652894
672,121,66,0.5454545454545454
674,122,29,0.23770491803278687
676,122,34,0.2786885245901639
678,123,56,0.45528455284552843
680,123,42,0.34146341463414637
682,123,32,0.2601626016260163
684,124,60,0.4838709677419355
686,124,32,0.25806451612903225
688,124,32,0.25806451612903225
690,124,78,0.6290322580645161
692,125,22,0.176
694,125,37,0.296
696,125,60,0.48
698,125,27,0.216
700,125,48,0.384
702,126,62,0.49206349206349204
704,126,36,0.2857142857142857
706,126,37,0.29365079365079366
708,126,48,0.38095238095238093
710,127,32,0.25196850393700787
712,127,34,0.2677165354330709
714,127,74,0.5826771653543307
716,127,28,0.2204724409448819
718,127,29,0.2283464566929134
720,128,78,0.609375
722,128,28,0.21875
724,128,30,0.234375
726,128,62,0.484375
728,129,30,0.23255813953488372
730,129,42,0.32558139534883723
732,129,62,0.4806201550387597
734,130,29,0.2230769230769231
736,130,38,0.2923076923076923
738,130,58,0.4461538461538462
740,131,36,0.2748091603053435
742,131,38,0.2900763358778626
744,132,62,0.4696969696969697
746,132,35,0.26515151515151514
748,132,38,0.2878787878787879
750,132,78,0.5909090909090909
752,133,28,0.21052631578947367
754,133,34,0.2556390977443609
756,133,70,0.5263157894736842
758,134,29,0.21641791044776118
760,134,42,0.31343283582089554
762,135,60,0.4444444444444444
764,135,34,0.2518518518518518
766,135,33,0.24444444444444444
768,135,62,0.45925925925925926
770,136,52,0.38235294117647056
772,136,36,0.2647058823529412
774,137,64,0.46715328467153283
776,137,32,0.23357664233576642
778,137,29,0.2116788321167883
780,137,88,0.6423357664233577
782,137,28,0.20437956204379562
784,137,36,0.26277372262773724
786,137,60,0.43795620437956206
788,138,30,0.21739130434782608
790,138,44,0.3188405797101449
792,138,68,0.4927536231884058
794,138,33,0.2391304347826087
796,138,28,0.2028985507246377
798,139,76,0.5467625899280576
800,139,42,0.302158273381295
802,139,31,0.22302158273381295
804,139,64,0.460431654676259
806,139,32,0.2302158273381295
808,139,28,0.2014388489208633
810,140,78,0.5571428571428572
812,141,36,0.2553191489361702
814,141,40,0.28368794326241137
816,141,68,0.48226950354609927
818,141,33,0.23404255319148937
820,141,40,0.28368794326241137
822,142,58,0.4084507042253521
824,143,32,0.22377622377622378
826,143,42,0.2937062937062937
828,144,68,0.4722222222222222
830,145,44,0.30344827586206896
832,145,44,0.30344827586206896
834,145,66,0.45517241379310347
836,145,36,0.2482758620689655
838,145,33,0.22758620689655173
840,146,102,0.6986301369863014
842,146,35,0.23972602739726026
844,146,34,0.2328767123287671
846,146,64,0.4383561643835616
848,146,30,0.2054794520547945
850,146,50,0.3424657534246575
852,146,62,0.4246575342465753
854,147,40,0.272108843537415
856,147,38,0.2585034013605442
858,148,78,0.527027027027027
860,149,36,0.24161073825503357
862,149,33,0.2214765100671141
864,150,66,0.44
866,150,33,0.22
868,150,42,0.28
870,150,92,0.6133333333333333
872,150,36,0.24
874,150,38,0.25333333333333335
876,150,72,0.48
878,151,27,0.17880794701986755
880,151,50,0.33112582781456956
882,152,78,0.5131578947368421
884,153,42,0.27450980392156865
886,153,35,0.22875816993464052
888,154,74,0.4805194805194805
890,154,46,0.2987012987012987
892,154,38,0.24675324675324675
894,154,68,0.44155844155844154
896,154,40,0.2597402597402597
898,154,37,0.24025974025974026
900,154,96,0.6233766233766234
902,154,30,0.19480519480519481
904,154,34,0.22077922077922077
906,154,68,0.44155844155844154
908,155,30,0.1935483870967742
910,155,62,0.4
912,156,62,0.3974358974358974
914,156,39,0.25
916,156,36,0.23076923076923078
918,156,70,0.44871794871794873
920,157,46,0.2929936305732484
922,157,39,0.2484076433121019
924,157,94,0.5987261146496815
926,157,35,0.2229299363057325
928,157,36,0.22929936305732485
930,158,86,0.5443037974683544
932,158,34,0.21518987341772153
934,158,39,0.2468354430379747
936,158,72,0.45569620253164556
938,159,36,0.22641509433962265
940,159,48,0.3018867924528302
942,160,68,0.425
944,160,36,0.225
946,160,40,0.25
948,161,66,0.40993788819875776
950,161,50,0.3105590062111801
952,161,46,0.2857142857142857
954,162,74,0.4567901234567901
956,162,38,0.2345679012345679
958,162,43,0.2654320987654321
960,162,90,0.5555555555555556
962,162,32,0.19753086419753085
964,162,36,0.2222222222222222
966,162,90,0.5555555555555556
968,163,34,0.2085889570552147
970,163,54,0.3312883435582822
972,164,64,0.3902439024390244
974,164,33,0.20121951219512196
976,164,38,0.23170731707317074
978,165,70,0.42424242424242425
980,165,52,0.3151515151515151
982,165,33,0.2
984,166,78,0.46987951807228917
986,166,40,0.24096385542168675
988,166,46,0.27710843373493976
990,166,104,0.6265060240963856
992,167,26,0.15568862275449102
994,167,50,0.2994011976047904
996,167,74,0.4431137724550898
998,168,33,0.19642857142857142
